id,opened,opened_ms,kind,coin,round,side,price,qty,stake,fee,fair,t_left,settled,settled_ms,winner,payout,pnl,pnl_pct,result,resolved_by
161,2026-09-24 00:31:04,1790202664993,fair,eth,1790202600,Up,0.23,12.3869,3.0026,0.1536,0.3584,836,2026-09-24 00:50:00,1790203800490,Down,0.0,-3.0026,-100.0,lost,polymarket
162,2026-09-24 00:34:15,1790202855041,fair,btc,1790202600,Up,0.28,9.6808,2.8472,0.1366,0.3412,646,2026-09-24 00:51:00,1790203860308,Up,9.6808,6.8336,240.01,won,polymarket
163,2026-09-24 00:44:10,1790203450087,diparb_leg1,btc,1790202600,Down,0.27,20.0,5.675940000000001,0.27594,,51,2026-09-24 00:51:00,1790203860308,Up,0.0,-5.6759,-100.0,lost,polymarket
165,2026-09-24 00:51:50,1790203910088,fair,btc,1790203500,Down,0.21,13.0469,2.8914,0.1515,0.2617,491,2026-09-24 01:07:00,1790204820381,Up,0.0,-2.8914,-100.0,lost,polymarket
164,2026-09-24 00:46:05,1790203565075,fair,eth,1790203500,Down,0.15,16.9442,2.6929,0.1512,0.262,836,2026-09-24 01:07:00,1790204820586,Up,0.0,-2.6929,-100.0,lost,polymarket
166,2026-09-24 01:01:05,1790204465124,fair,btc,1790204400,Up,0.3,9.1636,2.8838,0.1347,0.3925,836,2026-09-24 01:22:00,1790205720444,Down,0.0,-2.8838,-100.0,lost,polymarket
168,2026-09-24 01:13:05,1790205185193,diparb_leg1,btc,1790204400,Up,0.19,20.0,4.01546,0.21546,,116,2026-09-24 01:22:00,1790205720444,Down,0.0,-4.0155,-100.0,lost,polymarket
167,2026-09-24 01:01:05,1790204465126,fair,eth,1790204400,Up,0.33,8.3277,2.877,0.1289,0.4496,836,2026-09-24 01:22:00,1790205720636,Down,0.0,-2.877,-100.0,lost,polymarket
169,2026-09-24 01:17:20,1790205440199,fair,btc,1790205300,Up,0.4,5.0,2.084,0.084,0.4587,761,2026-09-24 01:37:00,1790206620544,Down,0.0,-2.084,-100.0,lost,polymarket
171,2026-09-24 01:28:25,1790206105243,diparb_leg1,btc,1790205300,Up,0.0999999999999999,20.0,2.126,0.126,,96,2026-09-24 01:37:00,1790206620545,Down,0.0,-2.126,-100.0,lost,polymarket
170,2026-09-24 01:21:00,1790205660234,fair,eth,1790205300,Up,0.4,6.2436,2.6023,0.1049,0.4633,541,2026-09-24 01:37:00,1790206620738,Down,0.0,-2.6023,-100.0,lost,polymarket
173,2026-09-24 01:38:25,1790206705299,fair,eth,1790206200,Up,0.3,6.6555,2.0945,0.0978,0.3624,396,2026-09-24 01:51:00,1790207460731,Down,0.0,-2.0945,-100.0,lost,polymarket
172,2026-09-24 01:33:15,1790206395309,fair,btc,1790206200,Down,0.64,3.5393,2.3222,0.0571,0.7009,706,2026-09-24 01:52:00,1790207520613,Down,3.5393,1.2171,52.41,won,polymarket
174,2026-09-24 01:43:40,1790207020303,diparb_leg1,btc,1790206200,Up,0.06,20.0,1.27896,0.07896,,81,2026-09-24 01:52:00,1790207520613,Down,0.0,-1.279,-100.0,lost,polymarket
175,2026-09-24 01:47:00,1790207220338,fair,btc,1790207100,Down,0.61,3.3345,2.0896,0.0555,0.674,781,2026-09-24 02:07:00,1790208420615,Down,3.3345,1.2449,59.58,won,polymarket
176,2026-09-24 01:51:20,1790207480357,fair,eth,1790207100,Up,0.67,2.8987,1.987,0.0449,0.7292,521,2026-09-24 02:08:00,1790208480655,Up,2.8987,0.9117,45.88,won,polymarket
177,2026-09-24 02:01:05,1790208065394,fair,eth,1790208000,Up,0.69,2.9057,2.0485,0.0435,0.7883,835,2026-09-24 02:18:00,1790209080854,Up,2.9057,0.8572,41.85,won,polymarket
178,2026-09-24 02:09:05,1790208545431,fair,btc,1790208000,Down,0.29,7.0928,2.1591,0.1022,0.3551,355,2026-09-24 02:19:00,1790209140718,Down,7.0928,4.9337,228.51,won,polymarket
179,2026-09-24 02:18:55,1790209135474,fair,btc,1790208900,Up,0.68,3.1631,2.1991,0.0482,0.7456,665,2026-09-24 02:34:00,1790210040749,Down,0.0,-2.1991,-100.0,lost,polymarket
180,2026-09-24 02:25:25,1790209525498,fair,eth,1790208900,Down,0.14,16.4959,2.4484,0.139,0.2192,275,2026-09-24 02:34:00,1790210040938,Up,0.0,-2.4484,-100.0,lost,polymarket
182,2026-09-24 02:40:25,1790210425549,fair,btc,1790209800,Down,0.83,2.6349,2.213,0.026,0.8917,275,2026-09-24 02:48:00,1790210880777,Up,0.0,-2.213,-100.0,lost,polymarket
183,2026-09-24 02:44:35,1790210675549,diparb_leg1,btc,1790209800,Down,0.26,20.0,5.46936,0.26936,,25,2026-09-24 02:48:00,1790210880777,Up,0.0,-5.4694,-100.0,lost,polymarket
181,2026-09-24 02:31:05,1790209865505,fair,eth,1790209800,Down,0.33,7.067,2.4415,0.1094,0.3864,835,2026-09-24 02:48:00,1790210880969,Down,7.067,4.6255,189.45,won,polymarket
185,2026-09-24 02:57:25,1790211445631,fair,btc,1790210700,Up,0.48,4.6935,2.3349,0.082,0.5963,155,2026-09-24 03:03:00,1790211780849,Down,0.0,-2.3349,-100.0,lost,polymarket
186,2026-09-24 02:58:50,1790211530625,diparb_leg1,btc,1790210700,Up,0.05,20.0,1.0665,0.0665,,70,2026-09-24 03:03:00,1790211780849,Down,0.0,-1.0665,-100.0,lost,polymarket
184,2026-09-24 02:46:45,1790210805575,fair,eth,1790210700,Up,0.41,5.0,2.1347,0.0847,0.5092,795,2026-09-24 03:03:01,1790211781042,Down,0.0,-2.1347,-100.0,lost,polymarket
187,2026-09-24 03:01:25,1790211685666,fair,eth,1790211600,Up,0.69,3.3062,2.3308,0.0495,0.7524,815,2026-09-24 03:18:01,1790212681174,Down,0.0,-2.3308,-100.0,lost,polymarket
190,2026-09-24 03:14:00,1790212440702,diparb_leg1,eth,1790211600,Up,0.11,20.0,2.33706,0.13706,,60,2026-09-24 03:18:01,1790212681175,Down,0.0,-2.3371,-100.0,lost,polymarket
188,2026-09-24 03:07:55,1790212075669,fair,btc,1790211600,Up,0.49,4.1639,2.1132,0.0728,0.5484,425,2026-09-24 03:19:00,1790212740972,Down,0.0,-2.1132,-100.0,lost,polymarket
189,2026-09-24 03:12:55,1790212375698,diparb_leg1,btc,1790211600,Up,0.0699999999999999,20.0,1.49114,0.09114,,125,2026-09-24 03:19:00,1790212740973,Down,0.0,-1.4911,-100.0,lost,polymarket
192,2026-09-24 03:17:35,1790212655752,fair,btc,1790212500,Down,0.72,2.8691,2.1062,0.0405,0.781,745,2026-09-24 03:34:01,1790213641045,Down,2.8691,0.7629,36.22,won,polymarket
191,2026-09-24 03:16:45,1790212605717,fair,eth,1790212500,Down,0.54,3.7846,2.1095,0.0658,0.6046,795,2026-09-24 03:35:00,1790213700995,Up,0.0,-2.1095,-100.0,lost,polymarket
193,2026-09-24 03:29:20,1790213360810,diparb_leg1,eth,1790212500,Down,0.23,20.0,4.84794,0.24794,,40,2026-09-24 03:35:00,1790213700995,Up,0.0,-4.8479,-100.0,lost,polymarket
